author	identity	work_count	record_count	languages	total_holdings	author_id	source	duplicated
Ulf Sandström	Sandström, Ulf 	1	1	1	1	viaf-188687875	Web	TRUE
Ricardo Arencibia Jorge	Arencibia Jorge, Ricardo	17	26	1	140	np-arencibia%20jorge,%20ricardo	Web	TRUE
Ricardo Arencibia Jorge	Arencibia, Ricardo Jorge	1	1	1	1	np-arencibia,%20ricardo%20jorge	Web	TRUE
Ricardo Arencibia Jorge	Arencibia, Jorge Ricardo	1	1	1	1	np-arencibia,%20jorge%20ricardo	Web	TRUE
Dean Giustini	NA	NA	NA	NA	NA	NA	NA	NA
Maite barrios	Barrios Cerrejón, M. Teresa	9	17	3	82	viaf-87749586	API	FALSE
RR Braam	Braam, Robert (Robert René) 1958-	11	28	2	144	lccn-n91097137	Web	FALSE
RR Braam	Braam, Robert (Robert René) 1958-	1	1	1	2	np-braam,%20robert$robert%20rene$1958	Web	FALSE
Emanuela Reale	Reale, Emanuela	34	67	2	171	lccn-n96010881	API	TRUE
Emanuela Reale	Reale, Emmanuela	1	1	1	1	np-reale,%20emmanuela	Web	TRUE
Xianwen Wang（王贤文）	NA	NA	NA	NA	NA	NA	NA	NA
Sybille Hinze	Hinze, Sybille	15	29	2	97	lccn-n2008040091	API	TRUE
Sybille Hinze	Hinze, Sybille	23	26	3	50	np-hinze,%20sybille	Web	TRUE
Sybille Hinze	Hinze, Sybille	1	2	1	2	viaf-7876149198233874940008	Web	TRUE
Sybille Hinze	Hinze, Sibylle	12	38	3	203	lccn-n88128223	Web	TRUE
Sybille Hinze	Hinze, Sybil	1	1	1	0	np-hinze,%20sybil	Web	TRUE
Sven Hemlin	Hemlin, Sven 1948-	33	98	4	1.115	lccn-n2004000519	API	TRUE
Sven Hemlin	Hamelink, Sven	1	1	1	9	viaf-289157799	Web	TRUE
Erjia Yan	Yan, Erjia	3	3	1	11	lccn-no2015102898	API	FALSE
Ernesto Spinak	Spinak, Ernesto	10	17	3	22	np-spinak,%20ernesto	API	TRUE
Ernesto Spinak	Spinak, Ernesto 1950-	1	1	1	4	np-spinak,%20ernesto$1950	Web	TRUE
