author	author_id	lang	count
Philipp Mayr	np-mayr,%20pilipp	ger	2
Philipp Mayr	np-mayr,%20phillip	ger	1
Rickard Danell	lccn-nb2013024295	eng	14
Rickard Danell	lccn-nb2013024295	swe	3
Dangzhi Zhao	lccn-no2015041127	eng	14
I.K. Ravichandra Rao	lccn-n82163270	eng	55
I.K. Ravichandra Rao	lccn-n82163270	por	4
I.K. Ravichandra Rao	lccn-n82163270	chi	1
Stefanie Haustein	lccn-n2012030867	eng	25
Stefanie Haustein	lccn-n2012030867	ger	2
Stefanie Haustein	np-haustein,%20stephanie	eng	4
Stefanie Haustein	np-haustein,%20stephanie	ger	1
Elea Giménez-Toledo	lccn-no2003013380	spa	64
Elea Giménez-Toledo	lccn-no2003013380	eng	3
Elea Giménez-Toledo	nc-gimenez%20toledo%20elea	spa	1
Nader Ale Ebrahim	np-nader%20ale%20ebrahim	eng	5
Nader Ale Ebrahim	np-ebrahim,%20nader%20ale	eng	2
Joaquín M. Azagra-Caro	viaf-33192415	eng	2
Joaquín M. Azagra-Caro	viaf-33192415	spa	1
Radhamany Sooryamoorthy	lccn-no95041888	eng	76
Farideh Osareh	np-osareh,%20farideh	eng	1
Marie E McVeigh	np-mcveigh,%20marie%20e	eng	1
Andreas Strotmann	lccn-no2015041371	eng	12
Raul-Isaac Mendez-Vasquez	np-mendez%20vasques,%20raul	spa	2
Jesper W. Schneider	np-schneider,%20jesper%20w	eng	7
Jesper W. Schneider	np-schneider,%20jesper%20w	dan	4
Jesper W. Schneider	viaf-7870149068424265730002	eng	1
John S. Liu	np-liu,%20john%20s	eng	1
Rafael Bailón Moreno	np-bailon%20moreno,%20rafael	spa	1
Jeppe Nicolaisen	viaf-308178423	eng	6
Jeppe Nicolaisen	viaf-308178423	dan	4
Christian Schloegl	lccn-n2017005886	ger	22
Christian Schloegl	lccn-n2017005886	eng	7
Alesia Zuccala	np-zuccala,%20alesia	eng	2
Alesia Zuccala	viaf-106734766	eng	4
Álvaro Cabezas-Clavijo	viaf-315538365	spa	10
Álvaro Cabezas-Clavijo	viaf-315538365	eng	1
Rogério Mugnaini	np-mugnaini,%20rogerio	por	6
David 'the' Stuart	viaf-605155042713672401305	eng	1
John Rigby	np-rigby,%20john	eng	30
John Rigby	np-rigby,%20john	spa	1
John Rigby	lccn-nr2003035799	eng	24
Umut Al	np-al,%20umut	eng	23
Umut Al	np-al,%20umut	tur	2
Umut Al	np-al,%20umut	fre	1
Staša Milojević	lccn-no2010159220	eng	7
Claire Donovan	np-donovan,%20claire%20angela	eng	3
Juan Gorraiz	lccn-nb2003024533	ger	8
Juan Gorraiz	lccn-nb2003024533	spa	6
Juan Gorraiz	lccn-nb2003024533	eng	2
Jadranka Stojanovski	viaf-305534480	hrv	2
Jadranka Stojanovski	viaf-305534480	eng	2
OB Onyancha	viaf-288345577	eng	19
OB Onyancha	np-onyancha,%20o%20b	eng	5
OB Onyancha	np-onyancha,%20o%20bosire	eng	1
OB Onyancha	viaf-309888894	eng	1
OB Onyancha	np-onyancha,%20omwoyo	eng	1
Tove Faber Frandsen	viaf-100158035	eng	6
Antonio Pulgarin	lccn-n97037244	spa	27
Antonio Pulgarin	lccn-n97037244	por	1
Antonio Pulgarin	lccn-n97037244	eng	1
Antonio Pulgarin	viaf-4748154387280230970002	eng	1
Antonio Pulgarin	np-pulgar%20n,%20antonio	eng	1
Antonio Pulgarin	np-pulgurin%20guerrero,%20antonio	spa	1
Fredrik Åström	viaf-4912706	eng	28
Fredrik Åström	viaf-4912706	swe	7
Kim Holmberg	lccn-nb2010009044	eng	41
Kim Holmberg	lccn-nb2010009044	swe	3
Kim Holmberg	lccn-nb2010009044	fin	1
R Jeyshankar	np-jeyshankar,%20r	eng	1
Sandra Miguel	viaf-32322507	spa	16
Sandra Miguel	viaf-32322507	fre	2
Sandra Miguel	viaf-32322507	eng	1
Sandra Miguel	np-miguel,%20sandra%20coord	eng	2
Hervé Rostaing	viaf-29651031	fre	8
Hervé Rostaing	np-rostaing,%20herve	fre	7
Daniela De Filippo	np-filippo,%20daniela%20de	spa	6
Kim-Leng Goh	lccn-n89219093	eng	31
Kim-Leng Goh	lccn-n89219093	may	2
Kim-Leng Goh	nc-kim%20leng%20goh	eng	1
Clara Calero	viaf-4794155708720122580006	spa	2
Clara Calero	viaf-4794155708720122580006	eng	1
Clara Calero	viaf-305798531	eng	2
Nicolás Robinson-García	np-robinson%20garcia,%20nicolas	eng	3
Liney Manjarres-Henríquez	viaf-305428091	eng	1
